Name,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Duc de Belmont Côteaux Bourguignons 2015 Loron et Fils,20,19,11.49,red wine,french,old world,,,0.95
Edna Valley Chardonnay 2015,74,69,15.99,white wine,,,chardonnay,,0.9324324324324325
Edna Valley Pinot Noir 2015,92,87,15.99,red wine,,,pinot noir,,0.9456521739130435
Emilio Moro 2015 Ribera del Duero,78,74,17.99,red wine,spanish,old world,tempranillo,,0.9487179487179487
Errazuriz Estate Series Carmenère 2016 Aconcagua Valley,108,96,9.99,red wine,chilean,new world,,,0.8888888888888888
Errazuriz Estate Series Chardonnay 2016 Casablanca Valley,58,52,9.99,white wine,chilean,new world,chardonnay,,0.896551724137931
Errazuriz Estate Series Merlot 2016 Valle de Curicó,51,46,9.99,red wine,chilean,new world,merlot,,0.9019607843137255
Errazuriz Sauvignon Blanc 2017 Casablanca Valley,80,70,9.99,white wine,chilean,new world,,,0.875
Errazuriz Single Vineyard Sauvignon Blanc 2016 Casablanca Valley,43,40,11.99,white wine,chilean,new world,sauvignon blanc,,0.9302325581395349
Escarpment Kiwa 2015,0,0,34,red wine,new-zealand,new world,,,
Escarpment Te Rehua 2013,0,0,70,fine wine,,,,,
Esprit de Begude Pinot Noir 2013 Haute Vallée de L'Aude,10,10,17.99,red wine,french,old world,pinot noir,,1
Esprit de Pennautier 2014 Cabardes,18,18,24.99,red wine,french,old world,,south of france,1
Excellence Ormarine Picpoul,8,7,10.99,white wine,french,old world,,,0.875
Fairbourne Sauvignon Blanc 2016 Marlborough,13,10,16.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.7692307692307693
Falanghina 2016 Terredora,41,38,12.99,white wine,italian,old world,,,0.926829268292683
Fattori Soave 2016,19,19,9.99,white wine,italian,old world,,,1
Faustino 1 Gran Reserva 1994 Rioja,18,18,37.5,fine wine,spanish,old world,tempranillo,rioja,1
Faustino 1 Gran Reserva 2005 Rioja,18,17,22.99,red wine,spanish,old world,tempranillo,rioja,0.9444444444444444
Ferraton Cotes du Rhone Villages Signargues,0,0,11.99,red wine,,,,,
Filsell Shiraz 2015,1,1,27.99,red wine,australian,new world,,,1
